track_id,genre,artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
2LskIZrCeLxRvCiGP8gxlh,"Hip-Hop, Rap",XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),90,0.0302,0.703,0.723,2.06e-06,0.126,0.0412,0.28800000000000003
5BDP2tky8oMQJPS33frKVp,Pop,Sebastian Yatra,Un Año,90,0.14800000000000002,0.7709999999999999,0.382,0.0,0.104,0.0514,0.535
5IaHrVsrferBYDm0bDyABy,"Hip-Hop, Rap, Pop",Tyga,Taste (feat. Offset),90,0.0236,0.884,0.5589999999999999,0.0,0.101,0.12,0.342
5WHTFyqSii0lmT9R21abT8,"Dance, Pop, R&B",Mabel,Don't Call Me Up,90,0.29600000000000004,0.674,0.8809999999999999,3.01e-06,0.0793,0.147,0.234
39LmTF9RgyakzSYX8txrow,"Dance, Pop",Ariana Grande,imagine,90,0.378,0.7290000000000001,0.475,0.0,0.12,0.0364,0.371
6QfS2wq5sSC1xAJCQsTSlj,"Dance, Pop",Lady Gaga,Shallow - Radio Edit,90,0.416,0.575,0.33,0.0,0.0872,0.031,0.277
2qT1uLXPVPzGgFOx4jtEuo,"Dance, Pop",Ariana Grande,no tears left to cry,90,0.04,0.6990000000000001,0.713,3.11e-06,0.294,0.0594,0.354
14mHfNsSHN0FbLftyjrV9g,Hip-Hop,Flipp Dinero,Leave Me Alone,90,0.107,0.792,0.743,0.0,0.183,0.0851,0.742
5N5k9nd479b1xpDZ4usjrg,"Dance, Pop",Calvin Harris,Promises (with Sam Smith),90,0.0119,0.7809999999999999,0.768,4.91e-06,0.325,0.0394,0.486
2RSHsoi04658QL5xgQVov3,Rock,Imagine Dragons,Bad Liar,90,0.0722,0.383,0.637,0.0,0.368,0.0703,0.0827
58q2HKrzhC3ozto2nDdN4z,"Rap, Pop",Cardi B,I Like It,90,0.099,0.816,0.726,0.0,0.3720000000000001,0.129,0.65
7m9OqQk4RVRkw9JJdeAw96,"Hip-Hop, Rap",XXXTENTACION,Jocelyn Flores,90,0.469,0.872,0.391,4.13e-06,0.297,0.242,0.4370000000000001
7ef4DlsgrMEH11cDZd32M6,"Dance, Pop",Calvin Harris,One Kiss (with Dua Lipa),89,0.037000000000000005,0.7909999999999999,0.862,2.19e-05,0.0814,0.11,0.5920000000000001
7dNwJbsT0sg1le5kVugGJb,Pop,Becky G,Bubalu,89,0.616,0.8,0.355,0.0,0.118,0.0895,0.253
0tgVpDi06FyKpA1z0VMD4v,Pop,Ed Sheeran,Perfect,89,0.163,0.599,0.448,0.0,0.106,0.0232,0.168
2FY7b99s15jUprqC0M5NCT,Rock,Imagine Dragons,Natural,89,0.217,0.7040000000000001,0.611,0.0,0.0812,0.0409,0.22
0QIjsbm2fh1cJ45XO9eGqq,"Hip-Hop, Rap, Pop",Gucci Mane,Wake Up in the Sky,89,0.00381,0.8,0.578,0.0,0.359,0.0485,0.3670000000000001
0pqnGHJpmpxLKifKRmU6WP,Rock,Imagine Dragons,Believer,89,0.0622,0.7759999999999999,0.78,0.0,0.081,0.128,0.6659999999999999
41zXlQxzTi6cGAjpOXyLYH,Pop,Billie Eilish,idontwannabeyouanymore,89,0.737,0.483,0.412,0.0,0.116,0.0402,0.247
2D3z17LBMJ2HEHeBFFjTLi,Pop,J Balvin,Reggaeton,89,0.0165,0.747,0.74,9.940000000000003e-05,0.101,0.191,0.552
2GGMabyHXnJmjY6CXhhB2e,Rap,Cardi B,Money,89,0.00534,0.95,0.59,0.0,0.11,0.29,0.219
6DCZcSspjsKoFjzjrWoCdn,"Hip-Hop, Rap, Pop",Drake,God's Plan,89,0.0332,0.754,0.449,8.290000000000001e-05,0.552,0.109,0.35700000000000004
4VUwkH455At9kENOfzTqmF,"Dance, Pop",Bazzi,Beautiful (feat. Camila Cabello),89,0.34600000000000003,0.638,0.7170000000000001,0.0,0.105,0.0337,0.249
3swc6WTsr7rl9DqQKQA55C,"Rap, Pop",Post Malone,Psycho (feat. Ty Dolla $ign),89,0.58,0.7390000000000001,0.5589999999999999,0.0,0.112,0.117,0.439
6FRLCMO5TUHTexlWo8ym1W,Pop,Maroon 5,Girls Like You (feat. Cardi B),89,0.568,0.851,0.541,0.0,0.13,0.0505,0.448
5wujBwqG7INdStqGd4tRMX,Rap,Juice WRLD,Armed And Dangerous,89,0.18600000000000005,0.736,0.67,0.0,0.114,0.311,0.845
2XWjPtKdi5sucFYtVav07d,"Dance, Pop",Zedd,365,88,0.339,0.745,0.693,0.0,0.123,0.034,0.248
6Gy7rXB6Ku5vIWC7WGWsl3,Rap,6ix9ine,KIKA (feat. Tory Lanez),88,0.128,0.745,0.715,0.0,0.182,0.245,0.342
4BiiOzZCrXEzHRLYcYFiD5,"Dance, Pop",The Chainsmokers,Hope,88,0.488,0.773,0.6990000000000001,3.6000000000000007e-06,0.0814,0.0958,0.513
